raw_id,idPaiement,userId,informationCarte,dateExpirementCarte,typeMethode,date_extraction,source_system
1,PAY000025,USR00034,2260119393250120,06/25,PayPal,2025-05-16 13:32:06,Web_Form
2,PAY000052,USR00007,226011939325012X,11/2025,CARTE_CREDIT,2025-04-01 11:15:33,CRM_System
3,PAY000135,USR00040,7366 XXXX XXXX 9026,2026-08,CARTE_CREDIT,2025-04-03 09:30:40,Mobile_App_v2
4,PAY000004,USR00014,354280138759271X,03/28,VISA,2025-05-09 08:51:32,Manual_Entry
5,PAY000143,USR00048,213106167567708X,2026-03,PayPal,2025-01-07 09:08:15,Manual_Entry
6,PAY000136,USR00003,3573864631752078,2027-12,CARTE_CREDIT,2025-04-03 09:30:40,Web_Form
7,PAY000026,USR00047,340902559056169,2028-03-28,VISA,2025-03-07 13:18:11,Web_Form
8,PAY000169,USR00016,4164 XXXX XXXX 9621,02/2026,MasterCard,2025-02-21 18:32:02,Manual_Entry
9,PAY000197,USR00041,7802 XXXX XXXX 2728,2027-03,AMEX,2025-03-09 17:53:01,Legacy_DB
10,PAY000043,USR00012,7997 XXXX XXXX 2705,06/04/2026,MasterCard,2025-05-25 06:06:32,Mobile_App_v2
11,PAY000154,USR00029,**** **** **** 9730,2025-10,MasterCard,2025-03-07 09:46:44,Mobile_App_v2
12,PAY000196,USR00041,498763514846853X,2028-03,MasterCard,2025-05-02 08:32:33,Web_Form
13,PAY000097,USR00050,9939 XXXX XXXX 4504,2027-08,Carte Bancaire,2025-01-24 10:14:07,Legacy_DB
14,PAY000001,USR00047,4644249363123032,2025-09,MasterCard,2025-03-24 02:42:44,CRM_System
15,PAY000078,USR00001,**** **** **** 3470,02/2027,VIREMENT,2025-03-12 11:41:36,Mobile_App_v2
16,PAY000142,USR00033,1355 XXXX XXXX 5521,2027-06-05,MasterCard,2025-02-15 21:37:10,Web_Form
17,PAY000118,USR00023,36064413432752,02/2026,Carte Bancaire,2025-01-01 14:20:03,Mobile_App_v2
18,PAY000066,USR00020,4591123829651,2027-02-09,VISA,2025-03-19 20:57:29,API_Import
19,PAY000186,USR00021,350696942152910X,10/2026,VISA,2025-05-22 02:42:18,Manual_Entry
