raw_id,userId,email,motsDePasse,role,date_extraction,source_system,data_quality_flag
1,USR00001,danielle.gallet@company.fr, C&*oGygR%2 ,admin,2025-04-23 02:39:21,Web_Form,
2,USR00002,user658,kr9cgaNaT8Pwg7sk,utilisateur,2025-03-15 19:30:59,CRM_System,0.0
3,USR00003,succès@localhost,%t!5MOiZ21,fournisseur,2025-01-22 15:52:14,Web_Form,0.0
4,USR00004,franck.chapman@company.fr,_4iRUq!B13,,2025-02-16 11:55:43,Mobile_App_v2,0.0
5,USR00005,user665,X*8WjAbv38,,2025-03-13 16:40:16,Web_Form,
6,USR00006,john.garcia@company.fr,!e%3#CShN(fr,admin,2025-01-14 14:06:05,CRM_System,1.0
7,USR00007,user750, J4aMJ3Ns!g ,admin,2025-05-08 09:27:06,Legacy_DB,1.0
8,USR00008,zrobinson+82@example.com,Q$4Y98yR72,utilisateur,2025-03-26 15:08:34,Web_Form,0.0
9,USR00009,karen64+19@example.com,password123,,2025-05-13 20:52:41,Mobile_App_v2,
10,USR00010,amanda51+75@example.com, oMXGIo13$1 ,,2025-04-02 21:33:13,Legacy_DB,0.0
11,USR00011,antoinettelaurent@example.org,p4mMMb4@#C1x,,2025-03-12 01:49:39,Mobile_App_v2,
12,USR00012,distinguer@localhost,sX6S!9JxaM&V,fournisseur,2025-01-23 06:53:46,API_Import,0.0
13,USR00013,eric34@example.org,6$2AIYbdO6a!,fournisseur,2025-05-16 03:11:02,Mobile_App_v2,0.0
14,USR00014,check@localhost,MRT7EKmzJt@+,,2025-05-07 04:27:29,Web_Form,0.0
15,USR00015,heather.berger@company.fr,MIh1pOMsmyu3ptmE,,2025-03-23 08:46:50,Legacy_DB,0.0
16,USR00016,user446,password123,admin,2025-03-17 12:12:21,API_Import,0.0
17,USR00017,user652,password123,manager,2025-05-02 05:31:49,Web_Form,1.0
18,USR00018,cory.laroche@company.fr,dphRjxGlXTRj1qN5,manager,2025-01-14 00:51:50,Legacy_DB,
19,USR00019,deckerchristopher@example.org,q1JtNlB*^+No,manager,2025-05-21 01:25:43,Manual_Entry,1.0
20,USR00020,allow@localhost, *(6IgOb$HW ,manager,2025-05-18 11:36:19,Web_Form,1.0
21,USR00021,fruit@localhost,password123,utilisateur,2025-04-23 16:31:51,CRM_System,
22,USR00022,philippinebarbe+12@example.com,a6OhwSgvmcevQXeu,manager,2025-04-24 03:45:46,Legacy_DB,0.0
23,USR00023,asseoir@localhost,z+^kP7Gh34,manager,2025-02-08 18:39:31,Manual_Entry,
24,USR00024,brigitte71+92@example.com,&G04M*eq20,admin,2025-04-02 16:42:13,CRM_System,
25,USR00025,user698,password123,admin,2025-01-15 13:43:01,CRM_System,
26,USR00026,zcox@example.net, Y^8SM5ck4& ,manager,2025-02-25 20:27:38,CRM_System,
27,USR00027,daniel.mahe@company.fr,ZSy8LrOiTPP07J4S,fournisseur,2025-05-23 05:02:38,CRM_System,0.0
28,USR00028,user202, _6@ZLbbrmv ,,2025-04-06 00:31:20,Mobile_App_v2,0.0
29,USR00029,capucine.anderson@company.fr,BM7^*dGX68+R,utilisateur,2025-01-25 10:50:52,Manual_Entry,
30,USR00030,sylvie.rey@company.fr, ^p_Z6ta@@2 ,fournisseur,2025-05-14 05:26:45,API_Import,1.0
31,USR00031,user822,4xA93RjD$k4),utilisateur,2025-04-14 21:59:25,CRM_System,
32,USR00032,gentrygregory+48@example.com,w0NkGKaZGPE2S9gv,admin,2025-04-30 08:21:43,CRM_System,1.0
33,USR00033,brownamy@example.net,*OsK1)Vg86,,2025-01-31 13:34:59,Legacy_DB,
34,USR00034,bpeltier+31@example.com,w26oPlIgC62bh3jO,utilisateur,2025-01-16 02:51:57,Web_Form,
35,USR00035,yhernandez@example.org,kkuhhOXJHS3JMsSd,utilisateur,2025-02-15 21:05:33,Legacy_DB,0.0
36,USR00036,allentran+59@example.com, A7%PALun@O ,utilisateur,2025-04-12 17:45:28,Manual_Entry,0.0
37,USR00037,édouard.robinson@company.fr,x2HWvAjk)bLg,utilisateur,2025-01-21 18:43:57,API_Import,1.0
38,USR00038,user546,$$F9eE)i+LPn,manager,2025-01-09 10:53:06,API_Import,0.0
39,USR00039,emilie52@example.net,l!HK5Idd85,,2025-05-14 20:25:11,Mobile_App_v2,
40,USR00040,user813, Cyj9MSF1V) ,admin,2025-01-03 09:30:41,Legacy_DB,
41,USR00041,xpatton+60@example.com,password123,manager,2025-01-13 18:24:30,Manual_Entry,0.0
42,USR00042,user627,(E6RZRba85,utilisateur,2025-01-25 02:37:57,Web_Form,
43,USR00043,local@localhost,sU5OSEa38bqOp068,admin,2025-03-03 22:13:33,Web_Form,
44,USR00044,evanslisa@example.org,48OaZQUXuvADHBqf,admin,2025-04-20 02:15:22,Web_Form,
45,USR00045,yeux@localhost,777pMp2iXz6RkIqR,fournisseur,2025-01-23 19:03:30,Web_Form,
46,USR00046,rcaron+100@example.com,MRS(6Klf63,manager,2025-04-05 18:27:07,CRM_System,
47,USR00047,droit@localhost,1gEhszQ84Nj6Js8l,fournisseur,2025-04-17 20:49:43,API_Import,1.0
48,USR00048,montrer@localhost,password123,utilisateur,2025-05-24 00:53:17,API_Import,1.0
49,USR00049,paul04@example.com,aZGM4fSjgvtlgdwK,fournisseur,2025-01-11 18:21:53,Manual_Entry,
50,USR00050,user230,RbPyhq&L+8T%,manager,2025-02-18 04:59:25,API_Import,
51,USR00051,olivie.simon@company.fr,h3jOTDrvV7ojJbfJ,fournisseur,2025-04-23 18:35:14,Web_Form,1.0
52,USR00052,glace@localhost,_$%3IJGw36,utilisateur,2025-03-20 22:29:08,Legacy_DB,0.0
53,USR00053,klambert@example.org,password123,admin,2025-01-11 21:30:52,Legacy_DB,
54,USR00054,user271,3qBh$^usT8u@,admin,2025-01-18 13:23:30,Mobile_App_v2,0.0
55,USR00055,user714,s&U1XrAO%KJN,fournisseur,2025-03-27 03:20:53,API_Import,1.0
56,USR00056,lorraine.foster@company.fr,03!6V#n69IS%,manager,2025-02-03 17:33:24,Legacy_DB,0.0
57,USR00057,user546,+E5_Snla94,fournisseur,2025-04-30 21:07:07,Web_Form,0.0
58,USR00058,new@localhost,password123,,2025-05-22 12:35:54,Manual_Entry,1.0
59,USR00059,elodie07+72@example.com,ZrL761Wv#Ggx,admin,2025-02-01 05:52:09,Manual_Entry,1.0
60,USR00060,officer@localhost,ZqBMQIfb11AI5qJm,manager,2025-05-05 15:18:50,CRM_System,0.0
61,USR00061,thibault.wood@company.fr,@A1mqDck59,fournisseur,2025-01-09 06:53:02,Web_Form,0.0
62,USR00062,rchauvet+96@example.com, _WBfl&uSG6 ,admin,2025-01-27 02:16:54,Manual_Entry,1.0
63,USR00063,nathanwheeler+77@example.com,P!0Zm&RX13,admin,2025-04-07 09:27:06,Mobile_App_v2,0.0
64,USR00064,alix.marchand@company.fr,j+48XdU^LEOT,utilisateur,2025-04-20 11:31:47,API_Import,1.0
65,USR00065,possible@localhost,68IYDozw$aof,utilisateur,2025-03-26 11:10:01,Legacy_DB,1.0
66,USR00066,suzanne65+81@example.com, v*4(HLBcEj ,,2025-01-26 00:12:43,Mobile_App_v2,0.0
67,USR00067,pintobenoit@example.org,password123,utilisateur,2025-01-06 17:23:50,Web_Form,
68,USR00068,michaelortiz+85@example.com, 2_XIZOiN$G ,,2025-04-24 09:35:08,CRM_System,0.0
69,USR00069,matthew.mills@company.fr,password123,admin,2025-04-16 06:29:01,Legacy_DB,0.0
70,USR00070,ann99+83@example.com,N3XlDqlq)_eA,utilisateur,2025-03-04 01:03:53,Web_Form,1.0
71,USR00071,kimberly.marty@company.fr,password123,fournisseur,2025-04-27 23:58:02,CRM_System,0.0
72,USR00072,user956,Y9Dbyawgd_3G,fournisseur,2025-05-22 04:32:44,API_Import,0.0
73,USR00073,jodi.bonnin@company.fr,(+TV8*Znkq)q,admin,2025-01-02 02:18:29,Mobile_App_v2,1.0
74,USR00074,user778,j#4WoKtINQFX,manager,2025-04-09 09:50:13,CRM_System,1.0
75,USR00075,account@localhost,_3cn3GrvKm^1,admin,2025-04-14 20:30:31,Mobile_App_v2,
76,USR00076,pay@localhost,*kL&qKHa!R1G,utilisateur,2025-05-05 09:23:16,Manual_Entry,
77,USR00077,essayer@localhost,P_7V1l)720,,2025-01-08 20:22:12,Manual_Entry,1.0
78,USR00078,relate@localhost,password123,admin,2025-01-05 08:36:22,Legacy_DB,0.0
79,USR00079,nation@localhost, #JN9NuwsiR ,manager,2025-01-26 00:51:39,API_Import,1.0
80,USR00080,site@localhost,FhCg0QDW6hPtVcHr,fournisseur,2025-04-12 14:02:15,Web_Form,
81,USR00081,user137,password123,fournisseur,2025-01-17 20:43:00,CRM_System,1.0
82,USR00082,aprilmclaughlin+59@example.com,fAM0Ae5oBOxGNqne,admin,2025-05-11 19:39:35,CRM_System,1.0
83,USR00083,fischermargaret@example.net, !BBrU81ip8 ,fournisseur,2025-03-24 04:08:32,Web_Form,
84,USR00084,cayers@example.net,alR0U8UW3vqTvvAZ,admin,2025-05-08 16:16:25,Manual_Entry,1.0
85,USR00085,xhaynes+73@example.com, B#6p8R0x6o ,utilisateur,2025-04-24 04:04:26,API_Import,1.0
86,USR00086,jwelch+31@example.com, XHt^DNau#5 ,manager,2025-03-29 10:29:50,Manual_Entry,1.0
87,USR00087,peter.perez@company.fr,6XZuoNdR2tBVwAxX,fournisseur,2025-05-11 03:59:17,Web_Form,1.0
88,USR00088,user685,!%I9H0zG46,fournisseur,2025-03-17 15:12:36,CRM_System,
89,USR00089,user381,Vd1Y*kAx)KHa,,2025-02-22 06:32:24,Manual_Entry,1.0
90,USR00090,user918,)$64KgMa30,admin,2025-04-23 20:00:54,Manual_Entry,0.0
